,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
103,0.686,0.442,7,-12.025,1,0.0258,0.637,0.00183,0.0975,0.493,90.009,254773,4,2,2gFnSurc2aUja58m4Jq41f
104,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,203787,4,5,7uKcScNXuO3MWw6LowBjW1
105,0.477,0.231,2,-11.842,0,0.0259,0.857,0.497,0.0638,0.246,98.226,176760,4,6,4pKUJwmq9mYcs1KNUsqAHH
106,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841,338853,4,4,16GHcGtW9Io7AuVdNmTjv3
107,0.813,0.949,3,-2.563,0,0.0336,0.486,9.75e-06,0.112,0.792,115.061,227707,4,5,7ffwRz8lZyDOE4Vj58Lo72
108,0.815,0.606,7,-9.733,1,0.115,0.571,0.0,0.13,0.883,130.45,145973,4,0,3VPJVon5HEa2VGZC62RJfW
109,0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,0.377,79.397,256120,3,11,79nJj5dMyTsUzKvN5jUXsJ
110,0.551,0.628,2,-13.799,1,0.036,0.0336,0.000194,0.151,0.777,142.167,212893,4,1,0vLwL4xuJ3s7SeaCdvMqkY
111,0.643,0.491,4,-9.312,1,0.0344,0.642,0.00972,0.286,0.753,126.399,194600,4,0,1XunTmhOcj3xwh4b8P3isX
112,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,276920,4,4,2igwFfvr1OAGX9SKDCPBwO
113,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,182307,4,3,5vlEg2fT4cFWAqU5QptIpQ
114,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,238733,4,8,3NLrRZoMF0Lx6zTlYqeIo4
115,0.846,0.472,1,-6.708,0,0.142,0.0269,0.0,0.388,0.239,101.005,230960,4,5,0JDotiqBOKyRVehdpzxgI8
116,0.391,0.883,7,-5.973,1,0.0442,0.264,0.0,0.157,0.927,75.442,141333,4,3,48JM82SHQTBYkhEYhMaOaa
117,0.792,0.533,9,-13.277,0,0.0361,0.0758,3.34e-06,0.192,0.965,127.5,308067,4,5,2fmIPKZ6dpko0N4MQuzH4N
118,0.519,0.446,5,-9.287,1,0.0388,0.813,0.000124,0.11,0.654,104.962,184493,4,0,0zRtBDhwtIFTfoK2HuURbM
119,0.74,0.598,7,-9.658,0,0.0321,0.15,0.0,0.0664,0.952,101.933,276000,4,5,3unwRUV5qbjMmH3NJtaODy
