,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
238,0.682,0.819,7,-5.402,1,0.085,0.375,0.0,0.333,0.662,129.43,198333,4,3
239,0.554,0.82,2,-5.035,1,0.0296,0.0186,4.91e-05,0.161,0.752,79.147,228933,4,1
240,0.921,0.659,2,-4.852,0,0.25,0.26,6.82e-05,0.216,0.663,97.055,214227,4,4
241,0.744,0.453,5,-11.977,1,0.0348,0.627,0.421,0.0898,0.122,103.773,239960,4,6
242,0.581,0.78,4,-7.053,1,0.0567,0.508,1.07e-05,0.0799,0.561,123.711,203680,4,1
243,0.568,0.495,1,-8.964,1,0.0299,0.353,0.0,0.0839,0.303,128.234,281067,4,9
244,0.337,0.247,3,-11.02,1,0.0299,0.936,8.77e-05,0.545,0.278,112.527,157760,4,2
245,0.482,0.681,0,-9.114,1,0.0263,0.588,0.683,0.405,0.963,81.997,132173,4,6
246,0.758,0.462,5,-8.952,0,0.0482,0.79,1.25e-05,0.17,0.726,120.004,160027,4,8
247,0.712,0.862,5,-4.612,0,0.0378,0.0525,0.0,0.093,0.809,95.051,206200,4,5
248,0.477,0.675,0,-6.771,1,0.0276,0.471,0.0,0.741,0.715,98.156,166173,4,7
249,0.742,0.405,0,-15.627,0,0.0433,0.0611,0.00601,0.0718,0.762,125.481,323307,4,8
250,0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145,294787,4,5
251,0.245,0.293,4,-10.361,1,0.0303,0.817,0.0,0.177,0.344,168.984,161373,3,11
252,0.777,0.471,1,-12.655,1,0.0834,0.221,0.0,0.3,0.905,122.458,180667,4,0
253,0.17,0.387,11,-12.791,1,0.0436,0.781,0.0,0.243,0.246,187.468,201253,4,2
254,0.556,0.517,9,-8.769,1,0.0287,0.307,0.00115,0.077,0.779,169.938,251253,4,10
255,0.544,0.84,0,-10.409,1,0.0627,0.25,0.0,0.167,0.743,79.264,212000,4,1
256,0.509,0.774,6,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,264707,4,9
257,0.848,0.555,10,-9.167,0,0.0369,0.0105,1.15e-05,0.0673,0.893,92.126,267262,4,5
258,0.625,0.726,10,-7.731,0,0.155,0.00728,0.0,0.318,0.483,103.98,311867,4,5
